,name,latitude,longitude,distance,company,category
8,El Rio,37.7468452966031,-122.4194649164591,2963.0,Digg,karaoke
9,Amnesia,37.75930932933236,-122.42123209569019,2426.0,Digg,karaoke
10,Slate,37.76510749391503,-122.41808636265253,2074.0,Digg,karaoke
11,Bender's Bar & Grill,37.760218,-122.417171,2055.0,Digg,karaoke
12,Annie's Social Club,37.779912,-122.403839,1878.0,Digg,karaoke
14,Ginger's,37.79052952723846,-122.40381326298744,2986.0,Digg,karaoke
15,Paradise Lounge,37.77164807,-122.41384143,1866.0,Digg,karaoke
16,BDUB Karaoke Jam,37.780609130859375,-122.40418243408203,1961.0,Digg,karaoke
17,Make-Out Room,37.75536971955471,-122.419418705643,2425.0,Digg,karaoke
18,The Jambulance,37.763334,-122.41811200000001,2081.0,Digg,karaoke
19,Rumors,37.775361882291115,-122.40622959788531,1569.0,Digg,karaoke
20,Hideout,37.76469885479973,-122.42243313253472,2456.0,Digg,karaoke
21,Virgil's Sea Room,37.74687115662822,-122.41925869616782,2947.0,Digg,karaoke
22,Bar Fluxus,37.79036768606403,-122.40492775866001,2997.0,Digg,karaoke
24,Los Yaquis,37.767939995903745,-122.4178143813895,2080.0,Digg,karaoke
25,Pop's Bar,37.75278414648941,-122.40790843963623,1776.0,Digg,karaoke
26,The Napper Tandy,37.7524242599306,-122.41650469114813,2370.0,Digg,karaoke
28,Platform 248,37.77431023331896,-122.41237505793158,1898.0,Digg,karaoke
0,Cat Club,37.77532380183384,-122.40990075364923,161.0,Ecolect,karaoke
1,RVIP Lounge & Karoke Cabaret,37.77585514405433,-122.40885061512955,150.0,Ecolect,karaoke
2,OMG!,37.78062535400536,-122.40916797655771,437.0,Ecolect,karaoke
3,Martuni's,37.77217953343813,-122.42283790204792,1230.0,Ecolect,karaoke
4,Butter,37.77112713444533,-122.41331456700858,688.0,Ecolect,karaoke
5,Pandora Karaoke & Bar,37.784276930437834,-122.41048225556138,836.0,Ecolect,karaoke
6,The Royale,37.787487,-122.415215,1274.0,Ecolect,karaoke
7,Annie's Social Club,37.779912,-122.403839,653.0,Ecolect,karaoke
8,Rumors,37.775361882291115,-122.40622959788531,375.0,Ecolect,karaoke
9,Paradise Lounge,37.77164807,-122.41384143,657.0,Ecolect,karaoke
10,BDUB Karaoke Jam,37.780609130859375,-122.40418243408203,674.0,Ecolect,karaoke
11,Platform 248,37.77431023331896,-122.41237505793158,338.0,Ecolect,karaoke
12,Ginger's,37.79052952723846,-122.40381326298744,1628.0,Ecolect,karaoke
13,Slate,37.76510749391503,-122.41808636265253,1475.0,Ecolect,karaoke
14,Bar Fluxus,37.79036768606403,-122.40492775866001,1580.0,Ecolect,karaoke
15,Los Yaquis,37.767939995903745,-122.4178143813895,1193.0,Ecolect,karaoke
16,The Jambulance,37.763334,-122.41811200000001,1652.0,Ecolect,karaoke
0,500 Club,37.763127342919965,-122.42406741172275,924.0,Netbiscuits,karaoke
1,El Rio,37.7468452966031,-122.4194649164591,1099.0,Netbiscuits,karaoke
2,Martuni's,37.77217953343813,-122.42283790204792,1934.0,Netbiscuits,karaoke
3,Amnesia,37.75930932933236,-122.42123209569019,660.0,Netbiscuits,karaoke
4,Dalva,37.76474920057358,-122.42243355866455,1137.0,Netbiscuits,karaoke
5,Mint Karaoke Lounge,37.770229456401246,-122.42578722973236,1692.0,Netbiscuits,karaoke
6,The Knockout,37.745174,-122.420015,1235.0,Netbiscuits,karaoke
7,Make-Out Room,37.75536971955471,-122.419418705643,619.0,Netbiscuits,karaoke
8,Bender's Bar & Grill,37.760218,-122.417171,999.0,Netbiscuits,karaoke
9,Virgil's Sea Room,37.74687115662822,-122.41925869616782,1107.0,Netbiscuits,karaoke
10,Lookout,37.76412880387266,-122.43325563913231,1176.0,Netbiscuits,karaoke
11,Toad Hall,37.76093940492483,-122.43584649904707,1056.0,Netbiscuits,karaoke
12,Midnight Sun,37.76081945275689,-122.43432520903521,946.0,Netbiscuits,karaoke
13,Slate,37.76510749391503,-122.41808636265253,1340.0,Netbiscuits,karaoke
14,Hideout,37.76469885479973,-122.42243313253472,1131.0,Netbiscuits,karaoke
15,Butter,37.77112713444533,-122.41331456700858,2131.0,Netbiscuits,karaoke
16,The Jambulance,37.763334,-122.41811200000001,1179.0,Netbiscuits,karaoke
17,The Napper Tandy,37.7524242599306,-122.41650469114813,921.0,Netbiscuits,karaoke
18,Woods Cervecería,37.76123,-122.42853,713.0,Netbiscuits,karaoke
19,The Lucky Horseshoe,37.73920963475991,-122.41676213735995,1957.0,Netbiscuits,karaoke
20,The Café,37.76292373211383,-122.43446193136491,1126.0,Netbiscuits,karaoke
21,Paradise Lounge,37.77164807,-122.41384143,2156.0,Netbiscuits,karaoke
22,Los Yaquis,37.767939995903745,-122.4178143813895,1624.0,Netbiscuits,karaoke
23,Pop's Bar,37.75278414648941,-122.40790843963623,1650.0,Netbiscuits,karaoke
0,Martuni's,37.77217953343813,-122.42283790204792,737.0,Popego,karaoke
